strain,aligned_row,unique_id,intensity
LP306,-1,220719_LP306_bmk-1_07_ch2,6263.1396
LP306,-1,220719_LP306_bmk-1_08_ch2,6236.4731
LP306,1,220719_LP306_bmk-1_12_ch2,5047.5068
LP306,-24,230408_LP306_bmk-1_02_ch2,5544.1431
LP306,-5,230408_LP306_bmk-1_05_ch2,6203.2949
LP306,4,230713_LP306_L4440_05_ch2,7227.6528
LP306,0,230713_LP306_L4440_07_ch2,7139.8389
LP306,2,230713_LP306_L4440_11_ch2,6794.7446
LP306,1,230828_LP306_L4440_01_ch2,8586.3105
LP306,4,230828_LP306_L4440_02_ch2,7586.9834
LP306,-3,230828_LP306_L4440_04_ch2,6985.7256
LP306,-7,230828_LP306_L4440_06_ch2,7517.1655
LP306,138,231107_LP306_L4440_02_ch2,5551.7876
LP306,0,231107_LP306_bmk-1_03_ch2,9263.8359
LP306,3,231107_LP306_bmk-1_05_ch2,6536.3169
LP306,-3,231107_LP306_bmk-1_13_ch2,6902.6895
LP306,-4,231113_LP306_bmk-1_02_ch2,8034.3081
LP306,2,240122_LP306_L4440_02_ch2,13157.4277
LP306,-3,240122_LP306_L4440_05_ch2,10773.4668
LP306,-3,240122_LP306_L4440_10_ch2,13919.8574
