strain,aligned_row,unique_id,intensity
LP306,1,220719_LP306_bmk-1_07_ch2,4547.3105
LP306,1,220719_LP306_bmk-1_08_ch2,5346.9463
LP306,-64,220719_LP306_bmk-1_12_ch2,4011.656
LP306,-18,230408_LP306_L4440_02_ch2,5376.7061
LP306,-12,230408_LP306_L4440_05_ch2,6550.4111
LP306,-8,230713_LP306_L4440_05_ch2,6781.8667
LP306,-3,230713_LP306_L4440_07_ch2,6213.231
LP306,1,230713_LP306_L4440_11_ch2,6106.4756
LP306,-4,230828_LP306_L4440_01_ch2,6476.7544
LP306,-2,230828_LP306_L4440_02_ch2,7207.1523
LP306,-8,230828_LP306_L4440_04_ch2,6213.1978
LP306,-24,230828_LP306_L4440_06_ch2,6283.917
LP306,-4,231107_LP306_L4440_02_ch2,5881.5088
LP306,-1,231107_LP306_bmk-1_03_ch2,6947.0059
LP306,1,231107_LP306_bmk-1_05_ch2,6314.9922
LP306,-2,231107_LP306_bmk-1_13_ch2,6247.9956
LP306,-1,231113_LP306_bmk-1_02_ch2,7515.5
LP306,0,240122_LP306_L4440_02_ch2,10138.9678
LP306,-4,240122_LP306_L4440_05_ch2,12535.248
LP306,-5,240122_LP306_L4440_10_ch2,10667.0098
