strain,aligned_row,unique_id,intensity
LP306,-3,230713_LP306_L4440_03_ch2,9166.2881
LP306,-6,230713_LP306_L4440_04_ch2,8885.5156
LP306,0,230713_LP306_L4440_08_ch2,9493.7451
LP306,-25,230713_LP306_L4440_10_ch2,8251.0762
LP306,-6,230713_LP306_L4440_12_ch2,7907.8242
LP306,-3,230828_LP306_L4440_05_ch2,7622.0181
LP306,2,230828_LP306_L4440_07_ch2,7075.4478
LP306,4,240122_LP306_L4440_01_ch2,15662.8623
LP306,-6,240122_LP306_L4440_06_ch2,11142.583
LP306,-2,240122_LP306_L4440_08_ch2,10762.874
LP306,-8,240122_LP306_L4440_09_ch2,12300.1484
LP306,-5,240219_LP306_erm-1_04_ch2,4453.4224
LP306,-82,240219_LP306_erm-1_06_ch2,3815.1787
LP306,32,240219_LP306_erm-1_09_ch2,3613.4619
LP306,-9,240221_LP306_erm-1_01_ch2,3949.2781
LP306,-63,240221_LP306_erm-1_08_ch2,3875.4272
LP306,-7,240222_LP306_erm-1_01_ch2,2863.6069
LP306,-20,240222_LP306_erm-1_03_ch2,3135.0203
LP306,46,240222_LP306_erm-1_06_ch2,2908.708
LP306,8,240222_LP306_erm-1_09_ch2,3200.5181
LP306,-32,240222_LP306_erm-1_10_ch2,3117.9961
LP306,29,240222_LP306_erm-1_12_ch2,3345.7935
